0.50	50.0	-12.60
0.52	50.0	 -8.50
0.46	50.0	 -9.10
0.52	50.0	-10.00
0.50	50.0	 -7.30
0.48	50.0	 -7.80
0.44	50.0	 -6.20
0.50	50.0	-11.30
0.42	50.0	 -6.90
0.42	50.0	 -7.40
0.40	50.0	 -7.40
0.44	50.0	 -6.20
0.42	50.0	 -7.90
0.46	50.0	-11.20
0.46	50.0	-10.90
0.52	50.0	-11.60
0.54	50.0	-11.60
0.54	50.0	-12.90
0.54	50.0	-12.00
0.54	50.0	-15.30
0.52	50.0	-14.50
0.50	50.0	-11.70
0.54	50.0	 -3.80
0.52	50.0	 -6.50
0.54	50.0	-13.10
0.56	50.0	-13.00
0.60	50.0	-12.40
0.54	50.0	-10.10
0.56	50.0	-11.70
0.52	50.0	-10.60
0.52	50.0	 -8.10
0.52	50.0	 -6.90
0.52	50.0	-10.00
0.54	50.0	 -6.10
0.56	50.0	 -4.80
0.48	50.0	 -4.20
0.40	50.0	 -3.50
0.46	50.0	 -6.90
0.42	50.0	 -6.00
0.46	50.0	 -9.80
0.52	50.0	-11.70
0.52	50.0	-13.90
0.46	50.0	-11.80
0.46	50.0	 -7.30
0.46	50.0	-10.40
0.48	50.0	-11.10
0.54	50.0	-13.20
0.56	50.0	-22.00
0.60	50.0	-15.70
0.64	50.0	-13.60
0.66	50.0	-19.80
0.62	50.0	-16.70
0.62	50.0	-12.30
0.62	50.0	-12.20
0.58	50.0	-12.00
0.56	50.0	 -9.70
0.54	50.0	 -8.50
0.56	50.0	 -6.00
0.54	50.0	 -7.70
0.52	50.0	 -9.40
0.48	50.0	 -9.40
0.54	50.0	-12.10
0.52	50.0	 -9.70
0.50	50.0	 -6.40
0.46	50.0	 -4.60
0.46	50.0	 -3.20
0.36	50.0	 -4.50
0.36	50.0	 -7.40
0.38	50.0	 -9.00
0.40	50.0	-10.70
0.44	50.0	 -6.20
0.42	50.0	 -5.50
0.42	50.0	 -5.00
0.42	50.0	 -2.70
0.42	50.0	 -3.20
0.38	50.0	 -3.30
0.46	50.0	 -7.40
0.48	50.0	 -3.60
0.48	50.0	 -4.40
0.52	50.0	 -6.20
0.50	50.0	 -6.80
0.50	50.0	 -6.50
0.44	50.0	 -5.40
0.42	50.0	 -5.00
0.42	50.0	 -5.70
0.46	50.0	 -9.10
